"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
308,",961,52615,537,18.54311,17.61945,17.2287,16.93406,16.78926,19.70115,19.22493,-18.28277,-19.17212,-19.64076,-19.9307,-20.06894,-17.27706,-17.75327,0.92366,1.60905,0.39075,0.68539,0.29464,0.1448,0.47622,1.15804,0.68182,2.0817,1.60548,2.47245,1.99623,2.76709,2.29087,2.91189,2.43567,0.0564"
309,",964,52646,54,19.63385,18.26702,17.59516,17.23802,17.02007,20.89615,19.99454,-17.75949,-19.10452,-19.83684,-20.21452,-20.41034,-16.65613,-17.55774,1.36683,2.39583,0.67186,1.029,0.35714,0.21795,0.90161,1.2623,0.36069,2.62913,1.72752,3.30099,2.39938,3.65813,2.75652,3.87608,2.97447,0.07261"
310,",966,52642,14,19.06614,17.85035,17.21081,16.79735,16.56691,21.28284,20.22121,-17.66098,-18.83918,-19.57496,-20.00916,-20.2211,-15.6323,-16.69392,1.21579,2.26879,0.63954,1.053,0.41346,0.23044,1.06163,2.2167,1.15507,3.43249,2.37086,4.07203,3.0104,4.48549,3.42386,4.71593,3.6543,0.05485"
311,",966,52642,256,20.00091,18.34475,17.61665,17.26455,17.04668,22.00336,22.75857,-16.51657,-18.13045,-18.97002,-19.34816,-19.54872,-14.72327,-13.96806,1.65616,2.73636,0.7281,1.0802,0.3521,0.21787,-0.75521,2.00245,2.75766,3.65861,4.41382,4.38671,5.14192,4.73881,5.49402,4.95668,5.71189,0.05046"
312,",966,52642,598,19.46747,18.05825,17.41385,17.11888,16.8546,23.17281,21.96909,-17.21126,-18.58186,-19.32511,-19.63871,-19.88718,-13.69659,-14.9003,1.40922,2.34859,0.6444,0.93937,0.29497,0.26428,1.20372,3.70534,2.50162,5.11456,3.91084,5.75896,4.55524,6.05393,4.85021,6.31821,5.11449,0.05375"
313,",966,52642,630,19.20795,18.15311,17.63537,17.25232,17.10647,21.08825,20.615,-17.46875,-18.48557,-19.0949,-19.48502,-19.61964,-15.76202,-16.23527,1.05484,1.95563,0.51774,0.90079,0.38305,0.14585,0.47325,1.8803,1.40705,2.93514,2.46189,3.45288,2.97963,3.83593,3.36268,3.98178,3.50853,0.0533"
314,",969,52442,141,19.80376,18.31915,17.5929,17.2627,17.03724,21.15634,20.42475,-17.48476,-18.94459,-19.73992,-20.09341,-20.29693,-16.30172,-17.03331,1.48461,2.54106,0.72625,1.05645,0.3302,0.22546,0.73159,1.35258,0.62099,2.83719,2.1056,3.56344,2.83185,3.89364,3.16205,4.1191,3.38751,0.06968"
315,",971,52644,266,18.70438,17.6446,17.20557,16.89229,16.75303,19.96106,19.56591,-18.09063,-19.11522,-19.63614,-19.94905,-20.07999,-16.99336,-17.38852,1.05978,1.81209,0.43903,0.75231,0.31328,0.13926,0.39515,1.25668,0.86153,2.31646,1.92131,2.75549,2.36034,3.06877,2.67362,3.20803,2.81288,0.05581"
316,",971,52644,585,19.40278,18.11484,17.54978,17.21649,17.02001,21.47204,20.64962,-17.42863,-18.68156,-19.33372,-19.6803,-19.86126,-15.53367,-16.35609,1.28794,2.18629,0.56506,0.89835,0.33329,0.19648,0.82242,2.06926,1.24684,3.3572,2.53478,3.92226,3.09984,4.25555,3.43313,4.45203,3.62961,0.05709"
317,",973,52426,336,19.54738,17.79223,17.00828,16.61777,16.32957,21.47896,20.85501,-17.49052,-19.21439,-20.08518,-20.50301,-20.77037,-15.74872,-16.37267,1.75515,2.92961,0.78395,1.17446,0.39051,0.2882,0.62395,1.93158,1.30763,3.68673,3.06278,4.47068,3.84673,4.86119,4.23724,5.14939,4.52544,0.06297"
318,",974,52427,374,19.80141,18.13249,17.33406,16.9584,16.69975,22.0386,21.9551,-17.45418,-19.09721,-19.96956,-20.37173,-20.60824,-15.39493,-15.47844,1.66892,2.84301,0.79843,1.17409,0.37566,0.25865,0.0835,2.23719,2.15369,3.90611,3.82261,4.70454,4.62104,5.0802,4.9967,5.33885,5.25535,0.06893"
319,",974,52427,528,18.90698,17.88068,17.47279,17.1788,17.04778,19.92576,19.52312,-18.09379,-19.08954,-19.5684,-19.86581,-19.98302,-17.22467,-17.62731,1.0263,1.72818,0.40789,0.70188,0.29399,0.13102,0.40264,1.01878,0.61614,2.04508,1.64244,2.45297,2.05033,2.74696,2.34432,2.87798,2.47534,0.06086"
320,",981,52435,246,19.73952,18.07362,17.28084,16.91332,16.67199,22.25445,22.00788,-17.01664,-18.64482,-19.5408,-19.97776,-20.15968,-14.70808,-14.95465,1.6659,2.8262,0.79278,1.1603,0.36752,0.24133,0.24657,2.51493,2.26836,4.18083,3.93426,4.97361,4.72704,5.34113,5.09456,5.58246,5.33589,0.05601"
321,",984,52442,165,18.98944,17.81161,17.2427,16.92339,16.73474,20.32293,19.77964,-17.72722,-18.86759,-19.52923,-19.90467,-20.03569,-16.57282,-17.11611,1.17783,2.06605,0.56891,0.88822,0.31931,0.18865,0.54329,1.33349,0.7902,2.51132,1.96803,3.08023,2.53694,3.39954,2.85625,3.58819,3.0449,0.05438"
322,",985,52431,356,19.15054,17.69084,17.04034,16.6979,16.45077,20.52658,20.29431,-17.4201,-18.83898,-19.59374,-20.00004,-20.18717,-16.23995,-16.47222,1.4597,2.45264,0.6505,0.99294,0.34244,0.24713,0.23227,1.37604,1.14377,2.83574,2.60347,3.48624,3.25397,3.82868,3.59641,4.07581,3.84354,0.05136"
323,",985,52431,422,18.6082,17.56957,17.04073,16.74495,16.56173,20.38036,19.76352,-17.98691,-18.98584,-19.61048,-19.95931,-20.08621,-16.39252,-17.00936,1.03863,1.86325,0.52884,0.82462,0.29578,0.18322,0.61684,1.77216,1.15532,2.81079,2.19395,3.33963,2.72279,3.63541,3.01857,3.81863,3.20179,0.0515"
324,",988,52520,626,19.2295,17.59325,16.88049,16.55516,16.33092,23.54949,22.1002,-17.35408,-18.94944,-19.7696,-20.14991,-20.32648,-13.23817,-14.68746,1.63625,2.67434,0.71276,1.03809,0.32533,0.22424,1.44929,4.31999,2.8707,5.95624,4.50695,6.669,5.21971,6.99433,5.54504,7.21857,5.76928,0.05184"
325,",991,52707,435,19.12194,18.01729,17.48037,17.1471,16.9875,20.38829,19.8039,-17.77704,-18.84829,-19.46755,-19.82775,-19.95648,-16.67899,-17.26337,1.10465,1.97484,0.53692,0.87019,0.33327,0.1596,0.58439,1.26635,0.68196,2.371,1.78661,2.90792,2.32353,3.24119,2.6568,3.40079,2.8164,0.05867"
326,",992,52644,130,19.7157,18.08882,17.50992,17.20843,17.01826,23.49015,22.10102,-17.16032,-18.75309,-19.41764,-19.74856,-19.90755,-13.56014,-14.94927,1.62688,2.50727,0.5789,0.88039,0.30149,0.19017,1.38913,3.77445,2.38532,5.40133,4.0122,5.98023,4.5911,6.28172,4.89259,6.47189,5.08276,0.05823"
327,",995,52731,58,18.61277,17.52753,17.02192,16.62962,16.45756,20.03889,19.41849,-18.39774,-19.45224,-20.03312,-20.43667,-20.59165,-17.13215,-17.75256,1.08524,1.98315,0.50561,0.89791,0.3923,0.17206,0.6204,1.42612,0.80572,2.51136,1.89096,3.01697,2.39657,3.40927,2.78887,3.58133,2.96093,0.06142"
328,",996,52641,168,18.21879,17.34729,17.10667,16.87282,16.79361,18.95556,18.75729,-18.60782,-19.44575,-19.75587,-19.97964,-20.04971,-18.00381,-18.20208,0.8715,1.34597,0.24062,0.47447,0.23385,0.07921,0.19827,0.73677,0.5385,1.60827,1.41,1.84889,1.65062,2.08274,1.88447,2.16195,1.96368,0.05594"
329,",997,52734,153,19.71009,17.90151,17.09927,16.71934,16.44571,22.31993,21.81285,-16.91716,-18.68527,-19.598,-20.01323,-20.26346,-14.52159,-15.02867,1.80858,2.99075,0.80224,1.18217,0.37993,0.27363,0.50708,2.60984,2.10276,4.41842,3.91134,5.22066,4.71358,5.60059,5.09351,5.87422,5.36714,0.05309"
330,",997,52734,171,19.60065,18.31388,17.61853,17.22149,17.02477,21.12045,20.52102,-17.82176,-19.08745,-19.84217,-20.25765,-20.43481,-16.46106,-17.06049,1.28677,2.37916,0.69535,1.09239,0.39704,0.19672,0.59943,1.5198,0.92037,2.80657,2.20714,3.50192,2.90249,3.89896,3.29953,4.09568,3.49625,0.07355"
331,",997,52734,532,18.65477,17.67803,17.25521,16.94733,16.83593,19.85507,19.47008,-18.82063,-19.77866,-20.24864,-20.56114,-20.65788,-17.75608,-18.14108,0.97674,1.70744,0.42282,0.7307,0.30788,0.1114,0.38499,1.2003,0.81531,2.17704,1.79205,2.59986,2.21487,2.90774,2.52275,3.01914,2.63415,0.07451"
332,",999,52636,481,18.70792,17.79702,17.48693,17.22494,17.09002,19.46574,19.23895,-18.57329,-19.46076,-19.82408,-20.08415,-20.20675,-17.9474,-18.17418,0.9109,1.48298,0.31009,0.57208,0.26199,0.13492,0.22679,0.75782,0.53103,1.66872,1.44193,1.97881,1.75202,2.2408,2.01401,2.37572,2.14893,0.06832"
333,",999,52636,555,19.99171,18.35675,17.53661,17.13713,16.92779,23.86497,22.17514,-17.36405,-18.97569,-19.86388,-20.29149,-20.47647,-13.66396,-15.35379,1.63496,2.85458,0.82014,1.21962,0.39948,0.20934,1.68983,3.87326,2.18343,5.50822,3.81839,6.32836,4.63853,6.72784,5.03801,6.93718,5.24735,0.07187"
334,",1000,52643,419,18.83636,17.87418,17.30322,16.92727,16.76751,20.68453,20.28175,-17.95263,-18.87885,-19.53927,-19.93457,-20.07325,-16.28112,-16.68389,0.96218,1.90909,0.57096,0.94691,0.37595,0.15976,0.40278,1.84817,1.44539,2.81035,2.40757,3.38131,2.97853,3.75726,3.35448,3.91702,3.51424,0.05609"
335,",1001,52670,19,19.67192,18.14324,17.39485,17.01646,16.80367,21.2007,21.24219,-17.66858,-19.17378,-19.98871,-20.39903,-20.58143,-16.30809,-16.26659,1.52868,2.65546,0.74839,1.12678,0.37839,0.21279,-0.04149,1.52878,1.57027,3.05746,3.09895,3.80585,3.84734,4.18424,4.22573,4.39703,4.43852,0.07124"
336,",1007,52706,79,19.16309,18.06222,17.52788,17.18307,16.98456,20.60206,20.08171,-17.59824,-18.66275,-19.28582,-19.63301,-19.82559,-16.3322,-16.85255,1.10087,1.98002,0.53434,0.87915,0.34481,0.19851,0.52035,1.43897,0.91862,2.53984,2.01949,3.07418,2.55383,3.41899,2.89864,3.6175,3.09715,0.05532"
337,",1008,52707,378,19.56025,18.26427,17.61157,17.2831,17.04229,21.4985,21.80578,-17.56858,-18.83602,-19.56442,-19.90441,-20.13368,-15.80156,-15.49429,1.29598,2.27715,0.6527,0.98117,0.32847,0.24081,-0.30728,1.93825,2.24553,3.23423,3.54151,3.88693,4.19421,4.2154,4.52268,4.45621,4.76349,0.06501"
338,",1009,52644,433,19.44751,17.94001,17.19276,16.77521,16.51001,21.93473,21.13379,-17.63902,-19.11657,-19.94613,-20.38419,-20.63323,-15.33496,-16.1359,1.5075,2.6723,0.74725,1.1648,0.41755,0.2652,0.80094,2.48722,1.68628,3.99472,3.19378,4.74197,3.94103,5.15952,4.35858,5.42472,4.62378,0.06414"
339,",1011,52652,340,18.9058,18.00882,17.62884,17.32335,17.23932,20.16681,19.77863,-18.16578,-19.03396,-19.48025,-19.77749,-19.8581,-17.04928,-17.43745,0.89698,1.58245,0.37998,0.68547,0.30549,0.08403,0.38818,1.26101,0.87283,2.15799,1.76981,2.53797,2.14979,2.84346,2.45528,2.92749,2.53931,0.06265"
340,",1011,52652,432,18.53105,17.63055,17.36435,17.08063,16.98091,19.48169,19.09811,-18.83447,-19.71386,-20.02748,-20.29701,-20.39535,-18.00985,-18.39344,0.9005,1.45042,0.2662,0.54992,0.28372,0.09972,0.38358,0.95064,0.56706,1.85114,1.46756,2.11734,1.73376,2.40106,2.01748,2.50078,2.1172,0.07071"
341,",1012,52649,38,18.91485,17.95314,17.52408,17.18771,17.02011,20.07748,19.90799,-18.32764,-19.26449,-19.75358,-20.08842,-20.24795,-17.3094,-17.47889,0.96171,1.72714,0.42906,0.76543,0.33637,0.1676,0.16949,1.16263,0.99314,2.12434,1.95485,2.5534,2.38391,2.88977,2.72028,3.05737,2.88788,0.06753"
342,",1013,52707,214,18.90616,17.84865,17.38009,17.06764,16.90182,20.02532,19.57302,-18.37674,-19.41027,-19.93831,-20.25119,-20.40843,-17.40425,-17.85655,1.05751,1.83852,0.46856,0.78101,0.31245,0.16582,0.4523,1.11916,0.66686,2.17667,1.72437,2.64523,2.19293,2.95768,2.50538,3.1235,2.6712,0.06881"
343,",1014,52707,269,20.02407,18.45567,17.53256,17.1673,17.04373,18.75122,19.46645,-17.2335,-18.7756,-19.77722,-20.17311,-20.27492,-18.69515,-17.97992,1.5684,2.85677,0.92311,1.28837,0.36526,0.12357,-0.71523,-1.27285,-0.55762,0.29555,1.01078,1.21866,1.93389,1.58392,2.29915,1.70749,2.42272,0.06932"
344,",1015,52734,183,19.85577,17.98047,17.29962,16.82425,16.58675,23.22653,22.24324,-17.58817,-19.44303,-20.18137,-20.66688,-20.89244,-14.37414,-15.35743,1.8753,3.03152,0.68085,1.15622,0.47537,0.2375,0.98329,3.37076,2.38747,5.24606,4.26277,5.92691,4.94362,6.40228,5.41899,6.63978,5.65649,0.07416"
345,",1015,52734,239,19.7175,18.0073,17.13994,16.86201,16.46226,23.03244,22.99619,-17.56484,-19.24959,-20.19169,-20.49314,-20.87584,-14.43208,-14.46833,1.7102,2.85549,0.86736,1.14529,0.27793,0.39975,0.03625,3.31494,3.27869,5.02514,4.98889,5.8925,5.85625,6.17043,6.13418,6.57018,6.53393,0.06987"
346,",1017,52706,14,18.42436,17.46539,17.09858,16.81921,16.67021,19.73677,19.26861,-18.23989,-19.16136,-19.61133,-19.88517,-20.02704,-17.08046,-17.54862,0.95897,1.60515,0.36681,0.64618,0.27937,0.149,0.46816,1.31241,0.84425,2.27138,1.80322,2.63819,2.17003,2.91756,2.4494,3.06656,2.5984,0.05252"
347,",1017,52706,411,19.72713,18.22566,17.42203,17.04228,16.8174,21.63429,21.34768,-17.33207,-18.80269,-19.69277,-20.09651,-20.30447,-15.61551,-15.90211,1.50147,2.68485,0.80363,1.18338,0.37975,0.22488,0.28661,1.90716,1.62055,3.40863,3.12202,4.21226,3.92565,4.59201,4.3054,4.81689,4.53028,0.06358"
348,",1039,52707,166,18.52376,17.49029,17.01151,16.60382,16.46645,20.77244,19.57489,-18.57374,-19.57862,-20.12703,-20.53874,-20.66481,-16.47951,-17.67706,1.03347,1.91994,0.47878,0.88647,0.40769,0.13737,1.19755,2.24868,1.05113,3.28215,2.0846,3.76093,2.56338,4.16862,2.97107,4.30599,3.10844,0.06364"
349,",1042,52725,203,18.82892,17.86275,17.44314,17.11157,17.00074,19.94844,19.65639,-18.29831,-19.23683,-19.7219,-20.05162,-20.15439,-17.32595,-17.618,0.96617,1.71735,0.41961,0.75118,0.33157,0.11083,0.29205,1.11952,0.82747,2.08569,1.79364,2.5053,2.21325,2.83687,2.54482,2.9477,2.65565,0.06428"
350,",1046,52460,109,18.67926,17.61265,17.25061,16.74966,16.5909,19.40957,19.2723,-18.43439,-19.47327,-19.8988,-20.39475,-20.54608,-17.8455,-17.98277,1.06661,1.9296,0.36204,0.86299,0.50095,0.15876,0.13727,0.73031,0.59304,1.79692,1.65965,2.15896,2.02169,2.65991,2.52264,2.81867,2.6814,0.06373"
351,",1048,52736,532,19.48326,18.07988,17.40018,17.06779,16.87732,20.86227,20.70212,-17.66417,-19.03936,-19.79485,-20.14993,-20.31865,-16.45817,-16.61831,1.40338,2.41547,0.6797,1.01209,0.33239,0.19047,0.16015,1.37901,1.21886,2.78239,2.62224,3.46209,3.30194,3.79448,3.63433,3.98495,3.8248,0.06559"
352,",1051,52468,476,18.58362,17.66885,17.36061,17.05929,17.01095,19.3826,19.03573,-18.67352,-19.56427,-19.92682,-20.22534,-20.2621,-18.00686,-18.35373,0.91477,1.52433,0.30824,0.60956,0.30132,0.04834,0.34687,0.79898,0.45211,1.71375,1.36688,2.02199,1.67512,2.32331,1.97644,2.37165,2.02478,0.06761"
353,",1052,52466,432,18.66649,17.70396,17.39894,17.17784,17.13118,19.75767,19.36404,-17.9867,-18.91183,-19.29669,-19.51711,-19.54821,-17.03998,-17.43361,0.96253,1.48865,0.30502,0.52612,0.2211,0.04666,0.39363,1.09118,0.69755,2.05371,1.66008,2.35873,1.9651,2.57983,2.1862,2.62649,2.23286,0.05207"
354,",1055,52761,438,19.40992,18.11648,17.50801,17.14476,16.90241,21.23904,20.44998,-17.8333,-19.10123,-19.77695,-20.15011,-20.37992,-16.1655,-16.95456,1.29344,2.26516,0.60847,0.97172,0.36325,0.24235,0.78906,1.82912,1.04006,3.12256,2.3335,3.73103,2.94197,4.09428,3.30522,4.33663,3.54757,0.06806"
355,",1061,52641,32,19.79838,17.89588,16.99889,16.62677,16.31282,23.82333,22.87957,-17.6286,-19.50947,-20.47207,-20.88556,-21.16323,-13.7776,-14.72136,1.9025,3.17161,0.89699,1.26911,0.37212,0.31395,0.94376,4.02495,3.08119,5.92745,4.98369,6.82444,5.88068,7.19656,6.2528,7.51051,6.56675,0.07417"
356,",1158,52668,547,18.74117,17.73451,17.29651,16.93169,16.79171,20.13916,19.84592,-18.23699,-19.21245,-19.72398,-20.08296,-20.21983,-16.99283,-17.28608,1.00666,1.80948,0.438,0.80282,0.36482,0.13998,0.29324,1.39799,1.10475,2.40465,2.11141,2.84265,2.54941,3.20747,2.91423,3.34745,3.05421,0.06037"
357,",1158,52668,607,19.28978,18.20103,17.61312,17.23984,16.98736,21.1215,20.55759,-17.70067,-18.75786,-19.42605,-19.80634,-20.04988,-16.03959,-16.6035,1.08875,2.04994,0.58791,0.96119,0.37328,0.25248,0.56391,1.83172,1.26781,2.92047,2.35656,3.50838,2.94447,3.88166,3.31775,4.13414,3.57023,0.06115"
358,",1159,52669,151,19.5656,18.19584,17.49156,17.11992,16.917,21.10878,20.69409,-17.71809,-19.06302,-19.83585,-20.2222,-20.41101,-16.34279,-16.75748,1.36976,2.44568,0.70428,1.07592,0.37164,0.20292,0.41469,1.54318,1.12849,2.91294,2.49825,3.61722,3.20253,3.98886,3.57417,4.19178,3.77709,0.06948"
359,",1159,52669,159,19.7255,18.11238,17.33791,16.9556,16.70259,22.13027,22.05916,-17.65437,-19.24498,-20.0843,-20.48208,-20.72155,-15.41751,-15.48862,1.61312,2.7699,0.77447,1.15678,0.38231,0.25301,0.07111,2.40477,2.33366,4.01789,3.94678,4.79236,4.72125,5.17467,5.10356,5.42768,5.35657,0.07247"
360,",1161,52703,345,19.96737,18.17152,17.31802,16.93746,16.60162,23.41722,22.65159,-17.393,-19.16554,-20.08793,-20.49331,-20.80913,-14.11867,-14.88431,1.79585,3.02991,0.8535,1.23406,0.38056,0.33584,0.76563,3.44985,2.68422,5.2457,4.48007,6.0992,5.33357,6.47976,5.71413,6.8156,6.04997,0.07209"
361,",1167,52738,544,19.44769,18.25637,17.65525,17.30028,17.10398,21.11065,20.07282,-17.95552,-19.12556,-19.78409,-20.14881,-20.33135,-16.44534,-17.48317,1.19132,2.14741,0.60112,0.95609,0.35497,0.1963,1.03783,1.66296,0.62513,2.85428,1.81645,3.4554,2.41757,3.81037,2.77254,4.00667,2.96884,0.07273"
362,",1168,52731,20,18.92662,17.71178,17.07133,16.67666,16.44189,20.61188,20.08944,-17.86081,-19.03933,-19.7731,-20.18505,-20.40444,-16.36113,-16.88358,1.21484,2.24996,0.64045,1.03512,0.39467,0.23477,0.52244,1.68526,1.16282,2.9001,2.37766,3.54055,3.01811,3.93522,3.41278,4.16999,3.64755,0.05627"
363,",1168,52731,574,18.74467,17.90129,17.61693,17.2905,17.2169,19.91209,19.4718,-18.58054,-19.4017,-19.73613,-20.05081,-20.1211,-17.54164,-17.98193,0.84338,1.45417,0.28436,0.61079,0.32643,0.0736,0.44029,1.16742,0.72713,2.0108,1.57051,2.29516,1.85487,2.62159,2.1813,2.69519,2.2549,0.06954"
364,",1169,52753,54,18.65692,17.7916,17.49647,17.24659,17.20405,19.55014,18.99218,-18.4904,-19.32906,-19.68307,-19.92084,-19.9602,-17.73064,-18.2886,0.86532,1.41033,0.29513,0.54501,0.24988,0.04254,0.55796,0.89322,0.33526,1.75854,1.20058,2.05367,1.49571,2.30355,1.74559,2.34609,1.78813,0.06446"
365,",1170,52756,288,19.80129,18.1913,17.64385,17.41048,17.22204,23.6439,21.87947,-17.57675,-19.16497,-19.76947,-20.00756,-20.18563,-13.88377,-15.64819,1.60999,2.39081,0.54745,0.78082,0.23337,0.18844,1.76443,3.84261,2.07818,5.4526,3.68817,6.00005,4.23562,6.23342,4.46899,6.42186,4.65743,0.07183"
366,",1170,52756,348,19.66999,17.84401,17.02906,16.65852,16.39232,24.52914,22.67658,-17.29483,-19.08768,-19.99523,-20.39172,-20.6407,-12.63309,-14.48565,1.82598,3.01147,0.81495,1.18549,0.37054,0.2662,1.85256,4.85915,3.00659,6.68513,4.83257,7.50008,5.64752,7.87062,6.01806,8.13682,6.28426,0.06118"
367,",1170,52756,406,19.87826,18.28961,17.48179,17.09603,16.8273,22.6612,21.81494,-17.17334,-18.73095,-19.62587,-20.03559,-20.2877,-14.5819,-15.42816,1.58865,2.78223,0.80782,1.19358,0.38576,0.26873,0.84626,2.78294,1.93668,4.37159,3.52533,5.17941,4.33315,5.56517,4.71891,5.8339,4.98764,0.0634"
368,",1170,52756,538,18.74919,17.88955,17.48464,17.14772,17.01458,20.18682,19.69415,-17.80854,-18.62842,-19.12299,-19.45345,-19.58257,-16.53184,-17.0245,0.85964,1.60147,0.40491,0.74183,0.33692,0.13314,0.49267,1.43763,0.94496,2.29727,1.8046,2.70218,2.20951,3.0391,2.54643,3.17224,2.67957,0.05028"
369,",1170,52756,609,19.51594,18.00151,17.25624,16.82504,16.56215,21.20279,20.14652,-17.40127,-18.88177,-19.71898,-20.17267,-20.41909,-15.90656,-16.96284,1.51443,2.6909,0.74527,1.17647,0.4312,0.26289,1.05627,1.68685,0.63058,3.20128,2.14501,3.94655,2.89028,4.37775,3.32148,4.64064,3.58437,0.05977"
370,",1171,52753,405,18.2976,17.4311,17.12902,16.86526,16.77475,19.23896,18.93439,-18.48428,-19.31598,-19.69278,-19.94547,-20.03099,-17.68459,-17.98915,0.8665,1.43234,0.30208,0.56584,0.26376,0.09051,0.30457,0.94136,0.63679,1.80786,1.50329,2.10994,1.80537,2.3737,2.06913,2.46421,2.15964,0.05506"
371,",1172,52759,134,19.32445,18.06572,17.44021,17.10353,16.89082,20.75205,20.2069,-17.41026,-18.63163,-19.35222,-19.70031,-19.90306,-16.16852,-16.71367,1.25873,2.22092,0.62551,0.96219,0.33668,0.21271,0.54515,1.4276,0.88245,2.68633,2.14118,3.31184,2.76669,3.64852,3.10337,3.86123,3.31608,0.05498"
372,",1174,52782,290,18.69505,17.8099,17.47665,17.19296,17.11632,19.71817,19.3652,-18.64428,-19.5074,-19.89191,-20.17354,-20.23904,-17.75375,-18.10673,0.88515,1.50209,0.33325,0.61694,0.28369,0.07664,0.35297,1.02312,0.67015,1.90827,1.5553,2.24152,1.88855,2.52521,2.17224,2.60185,2.24888,0.0701"
373,",1175,52791,208,19.29804,18.16202,17.63038,17.33388,17.11473,21.47425,20.00824,-17.52109,-18.62199,-19.23952,-19.55191,-19.75127,-15.51542,-16.98143,1.13602,1.96416,0.53164,0.82814,0.2965,0.21915,1.46601,2.17621,0.7102,3.31223,1.84622,3.84387,2.37786,4.14037,2.67436,4.35952,2.89351,0.05669"
374,",1177,52824,591,18.7872,17.78862,17.22372,16.82728,16.63787,20.70712,20.03501,-17.84365,-18.80304,-19.46434,-19.88629,-20.04885,-16.10535,-16.77746,0.99858,1.95992,0.5649,0.96134,0.39644,0.18941,0.67211,1.91992,1.24781,2.9185,2.24639,3.4834,2.81129,3.87984,3.20773,4.06925,3.39714,0.05241"
375,",1178,52825,3,18.96879,17.91886,17.42534,17.12087,16.91586,21.18734,20.13912,-18.01073,-19.02925,-19.59899,-19.93088,-20.10216,-15.95243,-17.00065,1.04993,1.84792,0.49352,0.79799,0.30447,0.20501,1.04822,2.21855,1.17033,3.26848,2.22026,3.762,2.71378,4.06647,3.01825,4.27148,3.22326,0.06057"
376,",1178,52825,9,19.47959,17.80834,16.97092,16.55951,16.21164,23.08229,22.75425,-17.91116,-19.55998,-20.46364,-20.92057,-21.22673,-14.48057,-14.80861,1.67125,2.92008,0.83742,1.24883,0.41141,0.34787,0.32804,3.6027,3.27466,5.27395,4.94591,6.11137,5.78333,6.52278,6.19474,6.87065,6.54261,0.07295"
377,",1178,52825,228,19.35427,17.79123,17.14251,16.85511,16.63595,23.51722,21.68554,-17.91207,-19.45004,-20.16624,-20.48611,-20.67151,-13.91298,-15.74466,1.56304,2.49916,0.64872,0.93612,0.2874,0.21916,1.83168,4.16295,2.33127,5.72599,3.89431,6.37471,4.54303,6.66211,4.83043,6.88127,5.04959,0.06883"
378,",1178,52825,480,18.74647,17.93154,17.57397,17.30664,17.16133,19.8882,19.32165,-18.00302,-18.78221,-19.21898,-19.49788,-19.61853,-17.01108,-17.57763,0.81493,1.43983,0.35757,0.6249,0.26733,0.14531,0.56655,1.14173,0.57518,1.95666,1.39011,2.31423,1.74768,2.58156,2.01501,2.72687,2.16032,0.05447"
379,",1178,52825,607,19.4771,18.18066,17.52178,17.17144,16.95581,21.49477,21.32648,-17.46407,-18.72751,-19.47274,-19.851,-20.04043,-15.62735,-15.79564,1.29644,2.30566,0.65888,1.00922,0.35034,0.21563,0.16829,2.01767,1.84938,3.31411,3.14582,3.97299,3.8047,4.32333,4.15504,4.53896,4.37067,0.06011"
380,",1180,52995,67,19.22324,17.81713,17.08167,16.72546,16.437,21.22148,20.59885,-17.46457,-18.83179,-19.67084,-20.09649,-20.3232,-15.66871,-16.29134,1.40611,2.49778,0.73546,1.09167,0.35621,0.28846,0.62263,1.99824,1.37561,3.40435,2.78172,4.13981,3.51718,4.49602,3.87339,4.78448,4.16185,0.05425"
381,",1180,52995,97,19.63472,18.20513,17.49222,17.13811,16.89042,21.2697,20.85105,-17.03553,-18.42598,-19.24208,-19.65109,-19.85049,-15.60076,-16.01941,1.42959,2.49661,0.71291,1.06702,0.35411,0.24769,0.41865,1.63498,1.21633,3.06457,2.64592,3.77748,3.35883,4.13159,3.71294,4.37928,3.96063,0.05378"
382,",1189,52668,603,19.40435,18.14206,17.46628,17.04908,16.82271,21.57063,20.74762,-17.26913,-18.49254,-19.26921,-19.73937,-19.91735,-15.29795,-16.12096,1.26229,2.35527,0.67578,1.09298,0.4172,0.22637,0.82301,2.16628,1.34327,3.42857,2.60556,4.10435,3.28134,4.52155,3.69854,4.74792,3.92491,0.05373"
383,",1191,52674,574,19.84968,18.2008,17.48566,17.14898,16.90948,22.16167,21.36265,-16.82265,-18.43243,-19.25078,-19.63689,-19.83368,-14.71108,-15.5101,1.64888,2.7007,0.71514,1.05182,0.33668,0.2395,0.79902,2.31199,1.51297,3.96087,3.16185,4.67601,3.87699,5.01269,4.21367,5.25219,4.45317,0.05383"
