plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction,H_alpha,EW_H_alpha,H_beta,OIII,NII
658,52146,17,2.8587,4.1561,1.0590,0.6910,2296.6530,365.1010,699.1140,4012.1350,73.5980
658,52146,299,1.0403,2.4844,1.2310,0.4420,1149.8840,56.5090,286.3190,95.9730,417.3280
658,52146,312,2.1296,7.4313,1.1150,0.2840,2746.2200,248.9720,825.7020,2605.4050,325.7460
664,52174,212,1.1330,4.3967,1.1940,0.2940,2680.7260,62.5610,784.8610,612.3390,735.3540
664,52174,239,1.0074,2.9110,1.1850,0.4020,1168.1480,47.3800,304.9720,260.6210,322.9390
664,52174,505,0.7549,1.9637,1.3150,0.6400,510.7820,23.4480,110.1100,37.4720,207.1170
666,52149,417,2.6102,2.8566,1.2010,0.2120,1041.3950,47.4100,295.8410,182.4860,260.1350
667,52163,503,0.4359,2.3202,1.3370,0.4130,1187.7360,28.6640,253.4460,53.6900,508.5340
677,52606,180,0.4126,1.7546,1.2800,0.7310,875.1160,48.9070,180.4520,83.0700,315.7720
679,52177,266,1.8153,4.1795,1.2000,0.2170,1171.0330,167.7510,347.6870,1502.7540,63.7740
682,52525,172,3.8996,7.3876,1.0430,0.7960,2652.5810,786.0880,769.3220,5364.9310,50.5230
687,52518,26,0.6179,1.9303,1.2700,0.3660,733.4080,45.6660,194.3070,84.6170,259.7840
689,52262,388,1.3117,2.0120,1.3370,0.2440,342.5860,24.1080,98.2870,43.6760,112.1200
690,52261,342,1.4154,2.8590,1.2300,0.1150,526.9520,37.5000,174.3540,161.3630,119.8430
690,52261,496,0.4705,1.5449,1.5690,-0.0410,120.2220,6.5450,36.1180,43.1060,44.3180
695,52202,139,0.9990,1.4579,1.3760,0.1440,463.7890,23.1960,115.5960,67.6660,233.4040
702,52178,108,0.6526,1.8769,1.3630,0.5010,777.6080,40.9910,167.5350,76.6770,269.9570
708,52175,155,3.7330,14.5976,1.0350,0.0330,1263.6850,387.6190,425.4250,2045.8590,29.5580
708,52175,513,2.3578,7.2373,1.1050,0.2000,767.1870,186.8020,252.3320,822.3950,59.0880
